"Step","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': False, 'alpha': 0.6, 'beta': 0.4} - train/episode_length","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': False, 'alpha': 0.6, 'beta': 0.4} - train/episode_length__MIN","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': False, 'alpha': 0.6, 'beta': 0.4} - train/episode_length__MAX","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4} - train/episode_length","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4} - train/episode_length__MIN","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4} - train/episode_length__MAX"
"128","23.285714285714285","16.571428571428573","30","30","30","30"
"256","16.27777777777778","15.555555555555555","17","17","17","17"
"384","17.142857142857142","16","18.285714285714285","18.285714285714285","18.285714285714285","18.285714285714285"
"512","18.4","12.8","24","12.8","12.8","12.8"
"640","14.666666666666668","13.333333333333334","16","16","16","16"
"768","19.85","16.5","23.2","23.2","23.2","23.2"
"896","18.75","15.5","22","22","22","22"
"1024","16.333333333333332","14.666666666666666","18","18","18","18"
"1152","18.57142857142857","17.142857142857142","20","20","20","20"
"1280","15.857142857142858","13.714285714285714","18","18","18","18"
"1408","15.755555555555556","12.4","19.11111111111111","12.4","12.4","12.4"
"1536","19.476190476190474","18.285714285714285","20.666666666666668","20.666666666666668","20.666666666666668","20.666666666666668"
"1664","17","16.666666666666668","17.333333333333332","17.333333333333332","17.333333333333332","17.333333333333332"
"1792","18.25","18","18.5","18","18","18"
"1920","19.15","17.5","20.8","17.5","17.5","17.5"
"2048","16.1","13.2","19","13.2","13.2","13.2"
"2176","20.228571428571428","18.857142857142858","21.6","21.6","21.6","21.6"
"2304","15.5","15","16","16","16","16"
"2432","17.77777777777778","15.555555555555555","20","20","20","20"
"2560","22.333333333333336","20.666666666666668","24","24","24","24"
"2688","16.57142857142857","16","17.142857142857142","17.142857142857142","17.142857142857142","17.142857142857142"
"2816","18.555555555555557","16.444444444444443","20.666666666666668","16.444444444444443","16.444444444444443","16.444444444444443"
"2944","20.34285714285714","18.285714285714285","22.4","18.285714285714285","18.285714285714285","18.285714285714285"
"3072","14.666666666666668","13.777777777777779","15.555555555555555","13.777777777777779","13.777777777777779","13.777777777777779"
"3200","26.8","25.6","28","28","28","28"
"3328","21","20","22","20","20","20"
"3456","14.95","14.4","15.5","14.4","14.4","14.4"
"3584","16","15","17","15","15","15"
"3712","16.75","16.5","17","17","17","17"
"3840","15.11111111111111","14.222222222222221","16","14.222222222222221","14.222222222222221","14.222222222222221"
"3968","21.542857142857144","18.285714285714285","24.8","24.8","24.8","24.8"
"4096","16.333333333333332","14.666666666666666","18","14.666666666666666","14.666666666666666","14.666666666666666"
"4224","20.57142857142857","17.142857142857142","24","24","24","24"
"4352","17.214285714285715","15","19.428571428571427","15","15","15"
"4480","16.82142857142857","16.5","17.142857142857142","16.5","16.5","16.5"
"4608","17.964285714285715","16.5","19.428571428571427","19.428571428571427","19.428571428571427","19.428571428571427"
"4736","15.25","15","15.5","15.5","15.5","15.5"
"4864","14.6","13.2","16","16","16","16"
"4992","13.681818181818182","12.363636363636363","15","12.363636363636363","12.363636363636363","12.363636363636363"
"5120","16","16","16","16","16","16"
"5248","18.57142857142857","17.142857142857142","20","20","20","20"
"5376","19.75","15.5","24","15.5","15.5","15.5"
"5504","19","17","21","17","17","17"
"5632","16.07142857142857","15","17.142857142857142","17.142857142857142","17.142857142857142","17.142857142857142"
"5760","14.1","13.2","15","15","15","15"
"5888","22","20","24","20","20","20"
"6016","16.317460317460316","13.777777777777779","18.857142857142858","13.777777777777779","13.777777777777779","13.777777777777779"
"6144","17.444444444444443","14.222222222222221","20.666666666666668","14.222222222222221","14.222222222222221","14.222222222222221"
"6272","14.666666666666666","14.222222222222221","15.11111111111111","15.11111111111111","15.11111111111111","15.11111111111111"
"6400","13.777777777777779","13.333333333333334","14.222222222222221","13.333333333333334","13.333333333333334","13.333333333333334"
"6528","18.833333333333336","17","20.666666666666668","17","17","17"
"6656","16.126984126984127","15.11111111111111","17.142857142857142","17.142857142857142","17.142857142857142","17.142857142857142"
"6784","17.047619047619047","14.666666666666666","19.428571428571427","14.666666666666666","14.666666666666666","14.666666666666666"
"6912","16.539682539682538","14.222222222222221","18.857142857142858","18.857142857142858","18.857142857142858","18.857142857142858"
"7040","18","16","20","20","20","20"
"7168","14.5","14","15","15","15","15"
"7296","15.75","14.5","17","14.5","14.5","14.5"
"7424","17","17","17","17","17","17"
"7552","18.857142857142858","17.714285714285715","20","20","20","20"
"7680","14.714285714285715","14","15.428571428571429","15.428571428571429","15.428571428571429","15.428571428571429"
"7808","15.333333333333332","14.222222222222221","16.444444444444443","16.444444444444443","16.444444444444443","16.444444444444443"
"7936","16.79365079365079","16.444444444444443","17.142857142857142","17.142857142857142","17.142857142857142","17.142857142857142"
"8064","20.142857142857142","18.285714285714285","22","22","22","22"
"8192","13.944444444444445","12.88888888888889","15","15","15","15"
"8320","14.95","14.4","15.5","14.4","14.4","14.4"
"8448","18.666666666666664","17.333333333333332","20","17.333333333333332","17.333333333333332","17.333333333333332"
"8576","18.22222222222222","16.444444444444443","20","16.444444444444443","16.444444444444443","16.444444444444443"
"8704","15.11111111111111","14.222222222222221","16","14.222222222222221","14.222222222222221","14.222222222222221"
"8832","17.80952380952381","13.333333333333334","22.285714285714285","13.333333333333334","13.333333333333334","13.333333333333334"
"8960","16.6031746031746","13.777777777777779","19.428571428571427","19.428571428571427","19.428571428571427","19.428571428571427"
"9088","17.107142857142858","16.5","17.714285714285715","16.5","16.5","16.5"
"9216","19.511111111111113","14.222222222222221","24.8","24.8","24.8","24.8"
"9344","17.67857142857143","16.5","18.857142857142858","18.857142857142858","18.857142857142858","18.857142857142858"
"9472","21.6","20","23.2","20","20","20"
"9600","15.35","13.2","17.5","17.5","17.5","17.5"
"9728","17.07142857142857","17","17.142857142857142","17.142857142857142","17.142857142857142","17.142857142857142"
"9856","21.45","16.5","26.4","26.4","26.4","26.4"
"9984","14.666666666666668","13.333333333333334","16","13.333333333333334","13.333333333333334","13.333333333333334"
"10112","16.25","15.5","17","15.5","15.5","15.5"
"10240","19.333333333333336","16","22.666666666666668","16","16","16"
"10368","23.200000000000003","21.6","24.8","21.6","21.6","21.6"
"10496","19","14.666666666666666","23.333333333333332","23.333333333333332","23.333333333333332","23.333333333333332"
"10624","20.142857142857142","18.285714285714285","22","22","22","22"
"10752","16.92857142857143","15","18.857142857142858","18.857142857142858","18.857142857142858","18.857142857142858"
"10880","14.6","13.2","16","16","16","16"
"11008","17.238095238095237","17.142857142857142","17.333333333333332","17.333333333333332","17.333333333333332","17.333333333333332"
"11136","16.984126984126984","15.11111111111111","18.857142857142858","18.857142857142858","18.857142857142858","18.857142857142858"
"11264","17.42857142857143","16","18.857142857142858","16","16","16"
"11392","13.88888888888889","13.777777777777779","14","14","14","14"
"11520","22.666666666666664","21.333333333333332","24","24","24","24"
"11648","17.4","14","20.8","20.8","20.8","20.8"
"11776","17.02777777777778","15.555555555555555","18.5","18.5","18.5","18.5"
"11904","18.25","16.5","20","16.5","16.5","16.5"
"12032","14.444444444444443","14.222222222222221","14.666666666666666","14.222222222222221","14.222222222222221","14.222222222222221"
"12160","17.65714285714286","17.6","17.714285714285715","17.714285714285715","17.714285714285715","17.714285714285715"
"12288","18.761904761904763","18.666666666666668","18.857142857142858","18.857142857142858","18.857142857142858","18.857142857142858"
"12416","14.285714285714285","12.571428571428571","16","12.571428571428571","12.571428571428571","12.571428571428571"
"12544","19.25","17.5","21","21","21","21"
"12672","19.238095238095237","17.142857142857142","21.333333333333332","21.333333333333332","21.333333333333332","21.333333333333332"
"12800","20","16","24","16","16","16"
"12928","19.166666666666664","15","23.333333333333332","15","15","15"
"13056","16.57142857142857","16","17.142857142857142","17.142857142857142","17.142857142857142","17.142857142857142"
"13184","15.333333333333332","14.666666666666666","16","16","16","16"
"13312","22.266666666666666","21.333333333333332","23.2","21.333333333333332","21.333333333333332","21.333333333333332"
"13440","16.964285714285715","14.5","19.428571428571427","14.5","14.5","14.5"
"13568","16.857142857142858","13.714285714285714","20","20","20","20"
"13696","15.272727272727273","14.545454545454545","16","16","16","16"
"13824","14.1","13.2","15","15","15","15"
"13952","14","13.777777777777779","14.222222222222221","14.222222222222221","14.222222222222221","14.222222222222221"
"14080","20.047619047619047","19.428571428571427","20.666666666666668","19.428571428571427","19.428571428571427","19.428571428571427"
"14208","12.929292929292929","11.636363636363637","14.222222222222221","14.222222222222221","14.222222222222221","14.222222222222221"
"14336","17.214285714285715","15","19.428571428571427","15","15","15"
"14464","15","15","15","15","15","15"
"14592","17.666666666666668","14.666666666666666","20.666666666666668","20.666666666666668","20.666666666666668","20.666666666666668"
"14720","15.75","15.5","16","16","16","16"
"14848","13.666666666666668","13.333333333333334","14","14","14","14"
"14976","18.666666666666664","18","19.333333333333332","18","18","18"
"15104","17.535714285714285","14.5","20.571428571428573","14.5","14.5","14.5"
"15232","16.41269841269841","15.11111111111111","17.714285714285715","15.11111111111111","15.11111111111111","15.11111111111111"
"15360","22","21.333333333333332","22.666666666666668","22.666666666666668","22.666666666666668","22.666666666666668"
"15488","19.666666666666664","16","23.333333333333332","16","16","16"
"15616","15.015873015873016","12.88888888888889","17.142857142857142","17.142857142857142","17.142857142857142","17.142857142857142"
"15744","13.75","12","15.5","12","12","12"
"15872","14.977777777777778","14.4","15.555555555555555","14.4","14.4","14.4"
"16000","18.6","13.2","24","24","24","24"
"16128","17.464285714285715","15.5","19.428571428571427","19.428571428571427","19.428571428571427","19.428571428571427"
"16256","15.25","14.5","16","14.5","14.5","14.5"
"16384","16.107142857142858","14.5","17.714285714285715","17.714285714285715","17.714285714285715","17.714285714285715"
"16512","17.555555555555557","15.11111111111111","20","20","20","20"
"16640","18.857142857142858","17.714285714285715","20","20","20","20"
"16768","18.214285714285715","17","19.428571428571427","17","17","17"
"16896","18.916666666666664","16.5","21.333333333333332","21.333333333333332","21.333333333333332","21.333333333333332"
"17024","15.11111111111111","14.222222222222221","16","16","16","16"
"17152","13.95","12.4","15.5","15.5","15.5","15.5"
"17280","17.22222222222222","15.11111111111111","19.333333333333332","19.333333333333332","19.333333333333332","19.333333333333332"
"17408","16.25","14.5","18","18","18","18"
"17536","16.825396825396822","14.222222222222221","19.428571428571427","14.222222222222221","14.222222222222221","14.222222222222221"
"17664","18.857142857142858","17.714285714285715","20","20","20","20"
"17792","16.933333333333334","13.2","20.666666666666668","20.666666666666668","20.666666666666668","20.666666666666668"
"17920","14.666666666666666","14.222222222222221","15.11111111111111","15.11111111111111","15.11111111111111","15.11111111111111"
"18048","13.244444444444444","12.88888888888889","13.6","13.6","13.6","13.6"
"18176","15.532467532467532","11.636363636363637","19.428571428571427","11.636363636363637","11.636363636363637","11.636363636363637"
