"Step","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'enable_mico': True, 'priority_type': 'current_vs_next', 'priority_weight': 1.0, 'normalize_priorities': False}} - train/episode_reward","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'enable_mico': True, 'priority_type': 'current_vs_next', 'priority_weight': 1.0, 'normalize_priorities': False}} - train/episode_reward__MIN","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'enable_mico': True, 'priority_type': 'current_vs_next', 'priority_weight': 1.0, 'normalize_priorities': False}} - train/episode_reward__MAX","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'enable_mico': True, 'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': False}} - train/episode_reward","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'enable_mico': True, 'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': False}} - train/episode_reward__MIN","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'enable_mico': True, 'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': False}} - train/episode_reward__MAX","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': False, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'enable_mico': True, 'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': False}} - train/episode_reward","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': False, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'enable_mico': True, 'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': False}} - train/episode_reward__MIN","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': False, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'enable_mico': True, 'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': False}} - train/episode_reward__MAX","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'enable_mico': False, 'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': False}} - train/episode_reward","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'enable_mico': False, 'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': False}} - train/episode_reward__MIN","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'enable_mico': False, 'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': False}} - train/episode_reward__MAX","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': False, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'enable_mico': False, 'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': False}} - train/episode_reward","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': False, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'enable_mico': False, 'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': False}} - train/episode_reward__MIN","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': False, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'enable_mico': False, 'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': False}} - train/episode_reward__MAX"
"128","-18.766666650772095","-35.5","2.200000047683716","-18.766666650772095","-35.5","2.200000047683716","-18.766666650772095","-35.5","2.200000047683716","-18.766666650772095","-35.5","2.200000047683716","-18.766666650772095","-35.5","2.200000047683716"
"256","-65.48333358764648","-119","-28.666667938232422","-65.48333358764648","-119","-28.666667938232422","-65.48333358764648","-119","-28.666667938232422","-65.48333358764648","-119","-28.666667938232422","-65.48333358764648","-119","-28.666667938232422"
"384","-61.166666984558105","-200","4","-61.166666984558105","-200","4","-73.33333333333333","-200","4","-58.4375","-200","4","-73.33333333333333","-200","4"
"512","-141.83333333333334","-200","-25.5","-141.83333333333334","-200","-25.5","-156.375","-200","-25.5","-102.875","-200","14","-156.375","-200","-25.5"
"640","-162.25","-200","-103","-162.25","-200","-103","-115.4375","-200","-12.75","-150.5","-200","-103","-128.5","-200","-65"
"768","-97.75","-200","-30","-97.75","-200","-30","-91.7916669845581","-200","-30","-144.25","-200","-30","-68.45","-200","-1.5"
"896","-31.000000953674316","-58.333335876464844","2","-24.1166672706604","-42.66666793823242","2","-71.08333396911621","-200","-1","-87.26666717529297","-200","0","-75.08333396911621","-200","-20"
"1024","-72.08333339691163","-200","-9.25","-104.72916674613953","-200","-9.25","-107.56666684150696","-200","-9.666666984558105","-140.20000012715658","-200","-20.600000381469727","-136.55555566151938","-200","-9.666666984558105"
"1152","-128.05333347320556","-200","-8.666666984558105","-124.37333335876465","-200","-8.666666984558105","-128.4","-200","-55","-100.88888931274414","-200","-34.66666793823242","-153.6","-200","-51"
"1280","-39","-91.5","-5.5","-79.25","-200","-5.5","-142.75","-200","-28.25","-131.875","-200","-5.5","-154.375","-200","-17.5"
"1408","-65.72727270126343","-127.5","7.363636493682861","-62.52727270126343","-200","7.363636493682861","-59.583333333333336","-107","-21","-92.875","-200","-45.5","-56.25","-91.5","-26.5"
"1536","-74.2","-114","16","-73","-105.5","-16.5","-79.125","-110.5","-48.5","-62.78750038146973","-103","-35.400001525878906","-78.69999980926514","-154","-12"
"1664","-54","-113","-18","-52.833333333333336","-109","-18","-52.74509811401367","-150","4.352941036224365","-90.33333333333333","-173","-18","-98","-150","-53"
"1792","-78.1","-167","-4","-80.6","-167","-4","-79.0875","-200","9.5625","-65.55","-167","-4","-105.43333358764649","-200","-20.166667938232422"
"1920","-112.4","-200","-22","-104.2","-200","-22","-127","-200","-80","-51.876190757751466","-145","-4.714285850524902","-102.625","-151","-35.5"
"2048","-76.77777862548828","-96","-56.333335876464844","-63.58333396911621","-96","-24","-90.27777862548828","-200","-14.5","-81.7142858505249","-137","-14.571429252624512","-117.4166669845581","-200","-24"
"2176","-60.60416793823242","-112.5","-3.25","-42.35416793823242","-68.66667175292969","-3.25","-119.91666793823242","-200","-11","-70.0625","-200","-2.5","-153","-200","-59"
"2304","-59.291666746139526","-172","-9.666666984558105","-62.25","-172","-19.5","-106.33333396911621","-179","-33.66666793823242","-59.875","-152","-19.5","-111.75","-200","-21.5"
"2432","-85.58333444595337","-200","-29.33333396911621","-80.79166769981384","-200","-10.166666984558105","-118.75","-200","-36.75","-63.08333492279053","-83","-55.333335876464844","-115.20833373069763","-200","-10.166666984558105"
"2560","-62.775","-200","5.125","-53.925","-200","6.25","-83.76666673024495","-200","-14.800000190734863","-34.57386350631714","-95","12.954545974731445","-76.91666666666667","-200","6.25"
"2688","-45.42500019073486","-115","-7","-40.90000009536743","-115","-7","-200","-200","-200","-177","-200","-131","-107.625","-200","-7"
"2816","-93.1666669845581","-200","-2","-113.75","-200","-67","-139.6","-200","-58","-125","-200","-57","-135.86666717529297","-200","-74.33333587646484"
"2944","-101.5","-200","-3","-110.875","-200","-8.5","-90.5","-200","-36","-46.25","-115","6","-87.83333333333333","-200","-16.5"
"3072","-134.8125","-200","-14.25","-95.85","-200","8","-149","-200","4","-99.4","-200","3","-126.84444446563721","-200","-12.222222328186035"
"3200","-200","-200","-200","-161.25","-200","-45","-57.55555566151937","-93","-8.166666984558105","-160.5","-200","-93","-87","-109","-64"
"3328","-100.55555725097656","-200","-28","-200","-200","-200","-80.70833325386047","-200","9.166666984558105","-14.425000190734863","-31.600000381469727","2.75","-30.11904748280843","-91.5","4.142857551574707"
