"Step","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4} - train/episode_reward","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4} - train/episode_reward__MIN","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4} - train/episode_reward__MAX","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': False, 'alpha': 0.6, 'beta': 0.4} - train/episode_reward","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': False, 'alpha': 0.6, 'beta': 0.4} - train/episode_reward__MIN","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': False, 'alpha': 0.6, 'beta': 0.4} - train/episode_reward__MAX","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'priority_type': 'current_vs_next', 'priority_weight': 1.0, 'normalize_priorities': True}} - train/episode_reward","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'priority_type': 'current_vs_next', 'priority_weight': 1.0, 'normalize_priorities': True}} - train/episode_reward__MIN","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'priority_type': 'current_vs_next', 'priority_weight': 1.0, 'normalize_priorities': True}} - train/episode_reward__MAX","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': True}} - train/episode_reward","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': True}} - train/episode_reward__MIN","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': True}} - train/episode_reward__MAX","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': False, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': True}} - train/episode_reward","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': False, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': True}} - train/episode_reward__MIN","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': False, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': True}} - train/episode_reward__MAX"
"128","-248.288818359375","-361.4462890625","-135.13134765625","-248.288818359375","-361.4462890625","-135.13134765625","-113.71456909179688","-146.2646942138672","-81.16444396972656","-113.71456909179688","-146.2646942138672","-81.16444396972656","-113.71456909179688","-146.2646942138672","-81.16444396972656"
"256","-326.00574493408203","-474.4971923828125","-124.27733612060547","-326.00574493408203","-474.4971923828125","-124.27733612060547","-433.66656494140625","-612.6943969726562","-166.70404052734375","-433.66656494140625","-612.6943969726562","-166.70404052734375","-433.66656494140625","-612.6943969726562","-166.70404052734375"
"384","-318.8630065917969","-500.235107421875","-224.81329345703125","-318.8630065917969","-500.235107421875","-224.81329345703125","-332.36395772298175","-459.57708740234375","-232.98927307128906","-332.36395772298175","-459.57708740234375","-232.98927307128906","-332.36395772298175","-459.57708740234375","-232.98927307128906"
"512","-200.78986612955728","-455.38262939453125","-47.61290740966797","-200.78986612955728","-455.38262939453125","-47.61290740966797","-291.1144663492839","-399.1719055175781","-105.45219421386719","-291.1144663492839","-399.1719055175781","-105.45219421386719","-291.1144663492839","-399.1719055175781","-105.45219421386719"
"640","-176.48065185546875","-253.3739013671875","-126.02093505859375","-176.48065185546875","-253.3739013671875","-126.02093505859375","-257.39501953125","-550.7247314453125","-88.57022094726562","-257.39501953125","-550.7247314453125","-88.57022094726562","-257.39501953125","-550.7247314453125","-88.57022094726562"
"768","-306.5271402994792","-412.1580810546875","-224.37319946289062","-306.5271402994792","-412.1580810546875","-224.37319946289062","-194.9186553955078","-270.5384216308594","-126.56642150878906","-194.9186553955078","-270.5384216308594","-126.56642150878906","-194.9186553955078","-270.5384216308594","-126.56642150878906"
"896","-203.93949381510416","-231.77755737304688","-160.458740234375","-203.93949381510416","-231.77755737304688","-160.458740234375","-216.76738739013672","-417.4794921875","-108.48854064941406","-216.76738739013672","-417.4794921875","-108.48854064941406","-216.76738739013672","-417.4794921875","-108.48854064941406"
"1024","-109.61408996582031","-170.59170532226562","8.906265258789062","-109.61408996582031","-170.59170532226562","8.906265258789062","-197.17925516764322","-370.4161071777344","-102.15853881835938","-197.17925516764322","-370.4161071777344","-102.15853881835938","-197.17925516764322","-370.4161071777344","-102.15853881835938"
"1152","-247.40676879882812","-320.1149597167969","-153.88043212890625","-247.40676879882812","-320.1149597167969","-153.88043212890625","-182.43934885660806","-253.29071044921875","-111.96332550048828","-182.43934885660806","-253.29071044921875","-111.96332550048828","-182.43934885660806","-253.29071044921875","-111.96332550048828"
"1280","-239.5520477294922","-317.0829162597656","-182.65321350097656","-239.5520477294922","-317.0829162597656","-182.65321350097656","-227.78091684977213","-321.54461669921875","-121.52655792236328","-227.78091684977213","-321.54461669921875","-121.52655792236328","-227.78091684977213","-321.54461669921875","-121.52655792236328"
"1408","-246.4359130859375","-371.9505310058594","-163.90261840820312","-246.4359130859375","-371.9505310058594","-163.90261840820312","-322.4219665527344","-385.14654541015625","-237.20916748046875","-322.4219665527344","-385.14654541015625","-237.20916748046875","-322.4219665527344","-385.14654541015625","-237.20916748046875"
"1536","-135.0188217163086","-207.29371643066406","1.6438980102539062","-135.0188217163086","-207.29371643066406","1.6438980102539062","-201.4677276611328","-279.2205810546875","-123.71487426757812","-201.4677276611328","-279.2205810546875","-123.71487426757812","-201.4677276611328","-279.2205810546875","-123.71487426757812"
