"Step","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'enable_mico': True, 'priority_type': 'current_vs_next', 'priority_weight': 1.0, 'normalize_priorities': False}} - replay_buffer/distance_distribution_on_policy","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'enable_mico': True, 'priority_type': 'current_vs_next', 'priority_weight': 1.0, 'normalize_priorities': False}} - replay_buffer/distance_distribution_on_policy__MIN","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'enable_mico': True, 'priority_type': 'current_vs_next', 'priority_weight': 1.0, 'normalize_priorities': False}} - replay_buffer/distance_distribution_on_policy__MAX","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'enable_mico': True, 'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': False}} - replay_buffer/distance_distribution_on_policy","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'enable_mico': True, 'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': False}} - replay_buffer/distance_distribution_on_policy__MIN","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'enable_mico': True, 'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': False}} - replay_buffer/distance_distribution_on_policy__MAX","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'enable_mico': False, 'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': False}} - replay_buffer/distance_distribution_on_policy","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'enable_mico': False, 'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': False}} - replay_buffer/distance_distribution_on_policy__MIN","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'enable_mico': False, 'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': False}} - replay_buffer/distance_distribution_on_policy__MAX"
"256","0.644127631187439","0.4485397934913635","0.8260608911514282","0.6441145718097687","0.4489445984363556","0.8232447504997253","1.5352596282958983","0.5452427864074707","1.996756911277771"
"384","0.898536229133606","0.5022926330566406","1.0472326278686523","0.8881061136722564","0.4962194859981537","1.039372444152832","1.9502389192581178","1.6283764839172363","2.337069034576416"
"512","1.5247998118400574","0.981533944606781","2.073378801345825","1.5402499437332153","0.9545489549636841","2.2515182495117188","3.237802028656006","2.2130651473999023","4.119283199310303"
"640","1.880119228363037","1.052869200706482","2.6482834815979004","1.8522821903228759","1.0503329038619995","2.906558036804199","3.7133633613586428","2.652772903442383","4.41934871673584"
"768","2.089649224281311","1.7047840356826782","2.4046971797943115","2.1516635417938232","1.6784336566925049","2.874140977859497","3.981589937210083","2.4897279739379883","6.5894317626953125"
"896","2.072282838821411","1.7899668216705322","2.5792102813720703","2.150424337387085","1.7241567373275757","2.5874693393707275","4.05038013458252","2.6397838592529297","7.55633544921875"
"1024","1.997833800315857","1.7922719717025757","2.4418821334838867","2.2493554830551146","1.785304069519043","3.403122901916504","3.8864160060882567","2.9972658157348633","6.215517520904541"
"1152","2.004436755180359","1.6637941598892212","2.2767391204833984","2.1883761882781982","1.7513976097106934","2.9915366172790527","3.4936148166656493","2.338778018951416","4.912511825561523"
"1280","2.131309986114502","1.716604232788086","2.5917274951934814","2.161382532119751","1.8370879888534546","2.791658401489258","3.2878722190856933","2.9445834159851074","3.7716259956359863"
"1408","2.0054813385009767","1.7046830654144287","2.417893409729004","2.110412049293518","1.7942312955856323","2.4755759239196777","3.40552339553833","2.866088390350342","4.252913475036621"
"1536","1.9913308382034303","1.7390978336334229","2.2701916694641113","2.1032774686813354","1.9025009870529175","2.4416229724884033","3.1512498378753664","2.56238055229187","3.6748108863830566"
"1664","1.9654255390167237","1.6671276092529297","2.313706159591675","2.125180244445801","2.006340265274048","2.3610403537750244","3.0425194263458253","2.4533257484436035","3.546030282974243"
"1792","1.8828107357025146","1.6176621913909912","2.2158336639404297","2.055135416984558","1.9102729558944702","2.193349599838257","2.7491995334625243","1.8747055530548096","3.2018208503723145"
"1920","1.810799765586853","1.5034291744232178","2.2536520957946777","1.9828620195388793","1.7989617586135864","2.181056261062622","2.3535402059555053","1.8212227821350098","2.9118831157684326"
"2048","1.8008920669555664","1.4903836250305176","2.2698912620544434","1.932878041267395","1.7346782684326172","2.1365904808044434","2.997636842727661","2.6663737297058105","3.36286997795105"
"2176","1.7828402757644652","1.530766248703003","2.2265634536743164","1.9165372371673584","1.6965174674987793","2.2278616428375244","2.9563132762908935","2.1401145458221436","3.4094724655151367"
